As of May 1, 2024

Symbol	Name	US Symbol	Sector	International Market
BLCO:TSX	Bausch + Lomb Corporation	BLCO	Life Sciences	NYSE
BLDP:TSX	Ballard Power Systems Inc.	BLDP	Clean Technology & Renewable Energy	NasdaqGM
BMO:TSX	Bank of Montreal	BMO	Financial Services	NYSE
BN:TSX	Brookfield Corporation	BN	Financial Services	NYSE
BNRE.A:TSX	Brookfield Reinsurance Ltd. Cl A-1 Exchangeable	BNRE.A	Financial Services	NYSE
BNRE:TSX	Brookfield Reinsurance Ltd.	BNRE	Financial Services	NYSE
BNS:TSX	Bank of Nova Scotia (The)	BNS	Financial Services	NYSE
BPYP.PR.A:TSX	Brookfield Property Preferred L.P.	BPYPM	Real Estate	NasdaqGM
BRAG:TSX	Bragg Gaming Group Inc.	BRAG	Technology	NasdaqGS
BTE:TSX	Baytex Energy Corp.	BTE	Oil & Gas	NYSE
BTO:TSX	B2Gold Corp.	BTG	Mining	NYSE MKT
BZ:TSXV	Benz Mining Corp.		Mining	ASX
CAE:TSX	CAE Inc.	CAE	Technology	NYSE
CCO:TSX	Cameco Corporation	CCJ	Mining	NYSE
CEE:TSX	Centamin plc		Mining	LSE
CEF.U:TSX	Sprott Physical Gold and Silver Trust	CEF	Closed-End Funds	NYSE Arca
CG:TSX	Centerra Gold Inc.	CGAU	Mining	NYSE
CGG:TSX	China Gold International Resources Corp. Ltd.		Mining	HKEx
CGI:TSX	Canadian General Investments Limited		Closed-End Funds	LSE
CIA:TSX	Champion Iron Limited		Mining	ASX
CIGI:TSX	Colliers International Group Inc.	CIGI	Real Estate	NasdaqGS
CLS:TSX	Celestica Inc.	CLS	Technology	NYSE
CM:TSX	Canadian Imperial Bank Of Commerce	CM	Financial Services	NYSE
CNE:TSX	Canacol Energy Ltd.		Oil & Gas	BVC
CNQ:TSX	Canadian Natural Resources Limited	CNQ	Oil & Gas	NYSE
CNR:TSX	Canadian National Railway Company	CNI	Industrial Products & Services	NYSE
COG:TSX	Condor Gold plc		Mining	AIM
CP:TSX	Canadian Pacific Kansas City Limited	CP	Industrial Products & Services	NYSE
CPG:TSX	Crescent Point Energy Corp.	CPG	Oil & Gas	NYSE
CRDL:TSX	Cardiol Therapeutics Inc.	CRDL	Life Sciences	NasdaqCM
CRON:TSX	Cronos Group Inc.	CRON	Life Sciences	NasdaqGM
CS:TSX	Capstone Copper Corp.		Mining	ASX
CUSN:TSXV	Cornish Metals Inc.		Mining	AIM
CVE:TSX	Cenovus Energy Inc.	CVE	Oil & Gas	NYSE
DAY:TSX	Dayforce, Inc.	DAY	Technology	NYSE
DCBO:TSX	Docebo Inc.	DCBO	Technology	NasdaqGS
DGHI:TSXV	Digihost Technology Inc.	DGHI	Technology	NasdaqCM
DML:TSX	Denison Mines Corp.	DNN	Mining	NYSE MKT
DOO:TSX	BRP Inc.	DOOO	Consumer Products & Services	NasdaqGS
DSG:TSX	Descartes Systems Group Inc. (The)	DSGX	Technology	NasdaqGS
ECOR:TSX	Ecora Resources plc		Mining	LSE
EDR:TSX	Endeavour Silver Corp.	EXK	Mining	NYSE
EDV:TSX	Endeavour Mining plc		Mining	LSE
EFR:TSX	Energy Fuels Inc.	UUUU	Mining	NYSE MKT
EFX:TSX	Enerflex Ltd.	EFXT	Industrial Products & Services	NYSE
ELBM:TSXV	Electra Battery Materials Corporation	ELBM	Mining	NasdaqCM
ELD:TSX	Eldorado Gold Corporation	EGO	Mining	NYSE
ELR:TSX	Eastern Platinum Limited		Mining	JSE
ELVA:TSX	Electrovaya Inc.	ELVA	Clean Technology & Renewable Energy	NasdaqCM
EMN:TSXV	Euro Manganese Inc.		Mining	ASX
EMX:TSXV	EMX Royalty Corporation	EMX	Mining	NYSE Mkt
ENB:TSX	Enbridge Inc.	ENB	Utilities & Pipelines	NYSE
EOG:TSXV	Eco (Atlantic) Oil & Gas Ltd.		Oil & Gas	AIM
EPRX:TSX	Eupraxia Pharmaceuticals Inc.	EPRX	Life Sciences	NasdaqCM
EQX:TSX	Equinox Gold Corp.	EQX	Mining	NYSE MKT
ERF:TSX	Enerplus Corporation	ERF	Oil & Gas	NYSE
ERO:TSX	Ero Copper Corp.	ERO	Mining	NYSE
EU:TSXV	enCore Energy Corp.	EU	Mining	NasdaqCM
EXN:TSX	Excellon Resources Inc.		Mining	NYSE MKT
FMN:TSXV	Fidelity Minerals Corp.		Mining	SSEV
FNV:TSX	Franco-Nevada Corporation	FNV	Mining	NYSE
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	AIM
FR:TSX	First Majestic Silver Corp.	AG	Mining	NYSE
FRX:TSX	Fennec Pharmaceuticals Inc.	FENC	Life Sciences	NasdaqCM
FSV:TSX	FirstService Corporation	FSV	Real Estate	NasdaqGS
FTS:TSX	Fortis Inc.	FTS	Utilities & Pipelines	NYSE
FURY:TSX	Fury Gold Mines Limited	FURY	Mining	NYSE MKT
FVI:TSX	Fortuna Silver Mines Inc.	FSM	Mining	NYSE
GAL:TSXV	Galantas Gold Corporation		Mining	AIM
GAME:TSXV	Game Square Holdings, Inc. 	GAME	Consumer Products & Services	NASDAQ
GATO:TSX	Gatos Silver, Inc.	GATO	Mining	NYSE
GAU:TSX	Galiano Gold Inc.	GAU	Mining	NYSE MKT
GFL:TSX	GFL Environmental Inc.	GFL	Industrial Products & Services	NYSE
GFR:TSX	Greenfire Resources Ltd.	GFR	Oil & Gas	NYSE
GIB.A:TSX	CGI Inc.	GIB	Technology	NYSE
GIL:TSX	Gildan Activewear Inc.	GIL	Consumer Products & Services	NYSE
GOLD:TSX	GoldMining Inc.	GLDG	Mining	NYSE MKT
GOOS:TSX	Canada Goose Holdings Inc.	GOOS	Consumer Products & Services	NYSE
GPV:TSXV	Greenpower Motor Company Inc.	GP	Clean Technology & Renewable Energy	NasdaqCM
GRT.UN:TSX	Granite Real Estate Investment Trust	GRP.U	Real Estate	NYSE
GRZ:TSXV	Gold Reserve Inc.		Mining	SSEV
GSP:TSXV	Gensource Potash Corporation		Mining	AIM
GTE:TSX	Gran Tierra Energy Inc.	GTE	Oil & Gas	NYSE Mkt
HBM:TSX	HudBay Minerals Inc.	HBM	Mining	NYSE
HCH:TSXV	Hot Chili Limited		Mining	ASX
HITI:TSXV	High Tide Inc.	HITI	Consumer Products & Services	NasdaqCM
HIVE:TSXV	Hive Digital Technologies Ltd.	HIVE	Technology	NasdaqCM
HUT:TSX	Hut 8 Corp.	HUT	Technology	NasdaqGS
HZM:TSX	Horizonte Minerals Plc		Mining	AIM
IAU:TSX	i-80 Gold Corp.	AUX	Mining	NYSE Mkt
IE:TSX	Ivanhoe Electric Inc.	IE	Mining	NYSE Mkt
IMG:TSX	IAMGold Corporation	IAG	Mining	NYSE
IMO:TSX	Imperial Oil Limited	IMO	Oil & Gas	NYSE MKT
INCA:TSXV	Inca One Gold Corp.		Mining	SSEV
IPCO:TSX	International Petroleum Corporation		Oil & Gas	Nasdaq Nordic
ITE:TSX	i3 Energy plc		Oil & Gas	AIM
ITH:TSX	International Tower Hill Mines Ltd.	THM	Mining	NYSE MKT
ITR:TSXV	Integra Resources Corp.	ITRG	Mining	NYSE Mkt
JRV:TSXV	Jervois Global Limited		Mining	ASX
K:TSX	Kinross Gold Corporation	KGC	Mining	NYSE
KCC:TSXV	Kincora Copper Limited		Mining	ASX
KEI:TSX	Kolibri Global Energy Inc.	KGEI	Oil & Gas	NasdaqCM
KWE:TSXV	KWESST Micro Systems Inc.	KWE	Technology	NasdaqCM
LAAC:TSX	Lithium Americas (Argentina) Corp.	LAAC	Mining	NYSE
LAC:TSX	Lithium Americas Corp.	LAC	Mining	NYSE
LAM:TSX	Laramide Resources Ltd.		Mining	ASX
LEV.WT:TSX	Lion Electric Co. Warrants	LEV.WS	Clean Technology & Renewable Energy	NYSE
LEV:TSX	Lion Electric Company (The)	LEV	Clean Technology & Renewable Energy	NYSE
LGO:TSX	Largo Inc.	LGO	Mining	NasdaqGS
LI:TSXV	American Lithium Corp.	AMLI	Mining	NasdaqCM
LIO:TSXV	Lion One Metals Limited		Mining	ASX
LSPD:TSX	Lightspeed Commerce Inc.	LSPD	Technology	NYSE
LUC:TSX	Lucara Diamond Corp.		Mining	Nasdaq Nordic
LUG:TSX	Lundin Gold Inc.		Mining	Nasdaq Nordic
LUN:TSX	Lundin Mining Corporation		Mining	Nasdaq Nordic
MAG:TSX	MAG Silver Corp.	MAG	Mining	NYSE MKT
MFC:TSX	Manulife Financial Corporation	MFC	Financial Services	NYSE
MG:TSX	Magna International Inc.	MGA	Industrial Products & Services	NYSE
MKA:TSXV	Mkango Resources Ltd.		Mining	AIM
MMS:TSXV	Macarthur Minerals Limited		Mining	ASX
MOGO:TSX	Mogo Inc.	MOGO	Financial Services	NasdaqCM
MTA:TSXV	Metalla Royalty & Streaming Ltd.	MTA	Mining	NYSE Mkt
MUX:TSX	McEwen Mining Inc.	MUX	Mining	NYSE
MX:TSX	Methanex Corporation	MEOH	Industrial Products & Services	NasdaqGS
NB:TSX	NioCorp Developments Ltd.	NB	Mining	NasdaqGM
NDM:TSX	Northern Dynasty Minerals Ltd.	NAK	Mining	NYSE MKT
NFG:TSXV	New Found Gold Corp.	NFGC	Mining	NYSE Mkt
NG:TSX	Novagold Resources Inc.	NG	Mining	NYSE MKT
NGD:TSX	New Gold Inc.	NGD	Mining	NYSE MKT
NGT:TSX	Newmont Corporation	NEM	Mining	NYSE
NOA:TSX	North American Construction Group Ltd.	NOA	Industrial Products & Services	NYSE
NOU:TSXV	Nouveau Monde Graphite Inc.	NMG	Mining	NYSE
NTR:TSX	Nutrien Ltd.	NTR	Mining	NYSE
NUAG:TSX	New Pacific Metals Corp.	NEWP	Mining	NYSE MKT
NVEI:TSX	Nuvei Corporation	NVEI	Technology	NasdaqGS
NVO:TSX	Novo Resources Corp.		Mining	ASX
NXE:TSX	NexGen Energy Ltd.	NXE	Mining	NYSE
NZP:TSXV	Chatham Rock Phosphate Limited		Mining	NZSE
OBE:TSX	Obsidian Energy Ltd.	OBE	Oil & Gas	NYSE MKT
ODV:TSXV	Osisko Development Corp.	ODV	Mining	NYSE
OGI:TSX	Organigram Holdings Inc.	OGI	Life Sciences	NasdaqGS
OLA:TSX	Orla Mining Ltd.	ORLA	Mining	NYSE MKT
OMI:TSXV	Orosur Mining Inc.		Mining	AIM
ONC:TSX	Oncolytics Biotech Inc.	ONCY	Life Sciences	NasdaqCM
OR:TSX	Osisko Gold Royalties Ltd.	OR	Mining	NYSE
ORA:TSX	Aura Minerals Inc.		Mining	B3
OTEX:TSX	Open Text Corporation	OTEX	Technology	NasdaqGS
OVV:TSX	Ovintiv Inc.	OVV	Oil & Gas	NYSE
PAAS:TSX	Pan American Silver Corp.	PAAS	Mining	NYSE
PD:TSX	Precision Drilling Corporation	PDS	Industrial Products & Services	NYSE
PHYS.U:TSX	Sprott Physical Gold Trust	PHYS	Closed-End Funds	NYSE Arca
PMET:TSX	Patriot Battery Metals Inc.		Mining	ASX
PML:TSXV	Panoro Minerals Ltd.		Mining	Lima (BVL)
PPL:TSX	Pembina Pipeline Corporation	PBA	Utilities & Pipelines	NYSE
PPTA:TSX	Perpetua Resources Corp.	PPTA	Mining	NasdaqCM
PPX:TSXV	PPX Mining Corp.		Mining	Lima (BVL)
PRMW:TSX	Primo Water Corporation	PRMW	Consumer Products & Services	NYSE
PRN:TSX	Profound Medical Corp.	PROF	Life Sciences	NasdaqCM
PRU:TSX	Perseus Mining Limited		Mining	ASX
PSLV.U:TSX	Sprott Physical Silver Trust	PSLV	Closed-End Funds	NYSE Arca
PTK:TSXV	POET Technologies Inc.	POET	Technology	NasdaqCM
PTM:TSX	Platinum Group Metals Ltd.	PLG	Mining	NYSE MKT
PUMA:TSXV	Puma Exploration Inc.		Mining	SSEV
QEC:TSX	Questerre Energy Corporation		Oil & Gas	Oslo Bors
QIPT:TSX	Quipt Home Medical Corp.	QIPT	Life Sciences	NasdaqCM
QSR:TSX	Restaurant Brands International Inc.	QSR	Consumer Products & Services	NYSE
RBA:TSX	RB Global, Inc.	RBA	Industrial Products & Services	NYSE
RCI.B:TSX	Rogers Communications Inc.	RCI	Comm. & Media	NYSE
REG:TSXV	Regulus Resources Inc.		Mining	Lima (BVL)
RIO:TSXV	Rio2 Limited		Mining	Lima (BVL)
RTG:TSX	RTG Mining Inc.		Mining	ASX
RY:TSX	Royal Bank of Canada	RY	Financial Services	NYSE
SBI:TSX	Serabi Gold plc		Mining	AIM
SCZ:TSXV	Santacruz Silver Mining Ltd.		Mining	SSEV
SEA:TSX	Seabridge Gold Inc.	SA	Mining	NYSE
SGML:TSXV	Sigma Lithium Corporation	SGML	Mining	NasdaqCM
SGQ:TSXV	SouthGobi Resources Ltd.		Mining	HKEx
SHOP:TSX	Shopify Inc.	SHOP	Technology	NYSE
SII:TSX	Sprott Inc.	SII	Financial Services	NYSE
SIL:TSX	SilverCrest Metals Inc.	SILV	Mining	NYSE MKT
SKE:TSX	Skeena Resources Limited	SKE	Mining	NYSE
SLF:TSX	Sun Life Financial Inc.	SLF	Financial Services	NYSE
SLI:TSXV	Standard Lithium Ltd.	SLI	Mining	NYSE Mkt
SLMN:TSXV	Solis Minerals Ltd.		Mining	ASX
SLR:TSX	Solitario Resources Corp.	XPL	Mining	NYSE MKT
SLS:TSX	Solaris Resources Inc. 	SLSR	Mining	NYSE
SOLG:TSX	SolGold plc		Mining	LSE
SOU:TSXV	Southern Energy Corp.		Oil & Gas	AIM
SOY:TSX	SunOpta Inc.	STKL	Clean Technology & Renewable Energy	NasdaqGS
SPPP.U:TSX	Sprott Physical Platinum and Palladium Trust	SPPP	Closed-End Funds	NYSE Arca
SSL:TSX	Sandstorm Gold Ltd.	SAND	Mining	NYSE
SSRM:TSX	SSR Mining Inc.	SSRM	Mining	NasdaqGS
SSV:TSXV	Southern Silver Exploration Corp.		Mining	SSEV
STC:TSX	Sangoma Technologies Corporation	SANG	Technology	NasdaqGS
STN:TSX	Stantec Inc.	STN	Industrial Products & Services	NYSE
SU:TSX	Suncor Energy Inc.	SU	Oil & Gas	NYSE
SVM:TSX	Silvercorp Metals Inc.	SVM	Mining	NYSE MKT
SWA:TSXV	Sarama Resources Ltd.		Mining	ASX
T:TSX	TELUS Corporation	TU	Comm. & Media	NYSE
TA:TSX	TransAlta Corporation	TAC	Utilities & Pipelines	NYSE
TAL:TSX	PetroTal Corp.		Oil & Gas	AIM
TC:TSX	Tucows Inc.	TCX	Technology	NasdaqCM
TCN:TSX	Tricon Residential Inc.	TCN	Financial Services	NYSE
TD:TSX	Toronto-Dominion Bank (The)	TD	Financial Services	NYSE
TECK.B:TSX	Teck Resources Limited	TECK	Mining	NYSE
TFII:TSX	TFI International Inc.	TFII	Industrial Products & Services	NYSE
TFPM:TSX	Triple Flag Precious Metals Corp.	TFPM	Mining	NYSE
TH:TSX	Theratechnologies Inc.	THTX	Life Sciences	NasdaqCM
THX:TSXV	Thor Explorations Ltd.		Mining	AIM
TIXT:TSX	TELUS International (Cda) Inc.	TIXT	Technology	NYSE
TK:TSXV	Tinka Resources Limited		Mining	Lima (BVL)
TKO:TSX	Taseko Mines Limited	TGB	Mining	NYSE MKT
TLRY:TSX	Tilray Brands, Inc.	TLRY	Consumer Products & Services	NasdaqGS
TMQ:TSX	Trilogy Metals Inc.	TMQ	Mining	NYSE MKT
TRI:TSX	Thomson Reuters Corporation	TRI	Comm. & Media	NYSE
TRP:TSX	TC Energy Corporation	TRP	Utilities & Pipelines	NYSE
TRX:TSX	TRX Gold Corporation	TRX	Mining	NYSE MKT
TSAT:TSX	Telesat Corporation	TSAT	Technology	NasdaqGS
TXP:TSX	Touchstone Exploration Inc.		Oil & Gas	AIM
URC:TSX	Uranium Royalty Corp.	UROY	Mining	NasdaqCM
URE:TSX	Ur-Energy Inc.	URG	Mining	NYSE MKT
USA:TSX	Americas Gold and Silver Corporation	USAS	Mining	NYSE MKT
VBNK:TSX	VersaBank	VBNK	Financial Services	NasdaqGS
VET:TSX	Vermilion Energy Inc.	VET	Oil & Gas	NYSE
VGZ:TSX	Vista Gold Corp.	VGZ	Mining	NYSE MKT
VLE:TSX	Valeura Energy Inc.		Oil & Gas	LSE
VMC:TSXV	Vicinity Motor Corp.	VEV	Industrial Products & Services	NasdaqCM
VOXR:TSX	Vox Royalty Corp.	VOXR	Mining	NasdaqCM
VZLA:TSXV	Vizsla Silver Corp.	VZLA	Mining	NYSE Mkt
WCN:TSX	Waste Connections, Inc.	WCN	Industrial Products & Services	NYSE
WEED:TSX	Canopy Growth Corporation	CGC	Life Sciences	NasdaqGS
WFG:TSX	West Fraser Timber Co. Ltd.	WFG	Industrial Products & Services	NYSE
WML:TSXV	Wealth Minerals Ltd.		Mining	SSEV
WPM:TSX	Wheaton Precious Metals Corp.	WPM	Mining	NYSE
WPRT:TSX	Westport Fuel Systems Inc.	WPRT	Clean Technology & Renewable Energy	NasdaqGS
WRN:TSX	Western Copper and Gold Corporation	WRN	Mining	NYSE MKT
XAM:TSX	Xanadu Mines Ltd.		Mining	ASX
XRTX:TSXV	XORTX Therapeutics Inc.	XRTX	Life Sciences	NasdaqCM
ZEN:TSXV	Zentek Ltd.	ZTEK	Mining	NasdaqCM
